salary,city,post_time,max_salary,url,company,title,min_salary
5000-8000/月,北京-西城区,12-31,8000,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,24.html",北京安信远腾科技有限公司,IT技术运营/支撑/维护,5000
8000-15000/月,成都-高新区,12-08,15000,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,15.html",成都凯顿富博网络科技有限公司,Python 爬虫工程师,8000
10000-20000/月,北京-朝阳区,12-08,20000,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,15.html",北京飞行者音乐科技有限公司,Python 后台开发工程师,10000
10000-14999/月,北京-海淀区,12-08,14999,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,15.html",太极智旅信息技术有限公司,PYTHON研发工程师,10000
10000-14999/月,上海-徐汇区,12-22,14999,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,13.html",爱奇艺（www.iqiyi.com）,研发-Python高级工程师-上海,10000
8000-16000/月,成都,12-21,16000,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,13.html",成都吉胜科技有限责任公司,python开发工程师—入职就买6险1金/工资不打折,8000
5000-10000/月,北京-海淀区,12-21,10000,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,13.html",北京国保金泰信息安全技术有限公司,Python研发工程师,5000
8000-9999/月,东莞-南城区,11-18,9999,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,17.html",东莞市铨鼎计算机软件开发有限公司,python开发工程师,8000
10000-14999/月,佛山,11-18,14999,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,17.html",佛山市银刃信息技术服务有限公司,Python工程师,10000
10000-20000/月,深圳-福田区,11-18,20000,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,17.html",博彦科技（深圳）有限公司,Python中高级开发工程师,10000
6000-15000/月,上海-普陀区,11-18,15000,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,17.html",名趣商务咨询（上海）有限公司,python开发工程师 / web方向互联网研发工程师,6000
10000-14999/月,深圳-南山区,11-18,14999,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,17.html",深圳市众为创造科技有限公司,python开发工程师,10000
8000-9999/月,上海-嘉定区,11-04,9999,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,18.html",上海金灯台信息科技有限公司,python后端开发,8000
2000-2999/月,邯郸,11-03,2999,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,18.html",邯郸市民腾计算机技术服务有限公司,Python程序员,2000
8000-15000/月,北京-海淀区,11-02,15000,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,18.html",概伦电子科技有限公司,Python/C++软件开发工程师,8000
10000-14999/月,深圳-南山区,11-01,14999,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,18.html",深圳市云趣网络科技股份有限公司,python后台开发工程师,10000
15000-19999/月,北京-海淀区,11-01,19999,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,18.html",北京荣之联科技股份有限公司,python开发工程师,15000
8000-9999/月,北京-昌平区,12-31,9999,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,19.html",北京清鹤科技有限公司,大数据研发工程师,8000
10000-14999/月,重庆-南岸区,12-31,14999,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,19.html",深圳市拓保软件有限公司,运维工程师,10000
10000-14999/月,杭州-上城区,12-31,14999,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,19.html",浙江七巧板信息科技股份有限公司,大数据开发工程师,10000
5000-5500/月,深圳-南山区,12-31,5500,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,19.html",深圳市火星网络有限公司,市场部专员,5000
8000-9999/月,上海,12-31,9999,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,20.html",上海三高计算机中心股份有限公司,GIS数据处理工程师,8000
10000-14999/月,广州-越秀区,12-31,14999,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,20.html",广州光汇软件科技有限公司,BI可视化分析师,10000
4500-5999/月,济南,12-31,5999,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,20.html",中软卓越（济南）,JAVA软件开发实习+双休+五险,4500
15000-25000/月,上海-浦东新区,12-31,25000,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,20.html",海蓝（上海）电子商务有限公司,IT运维工程师,15000
6000-15000/月,广州-天河区,12-31,15000,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,20.html",广州市千旭网络科技有限公司,php工程师,6000
12000-24000/月,上海,12-29,24000,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,9.html",上海天玑科技股份有限公司,Python研发工程师（云计算方向）,12000
8000-20000/月,上海-杨浦区,12-29,20000,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,9.html",上海霄骋信息科技有限公司,Python爬虫开发工程师,8000
10000-14999/月,武汉-洪山区,12-31,14999,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,21.html",迈德同信（武汉）科技股份有限公司,软件开发经理,10000
15000-20000/月,深圳-龙岗区,12-31,20000,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,21.html",上海易立德企业管理咨询有限公司,高级软件测试工程师/测试经理,15000
10000-14999/月,南京-建邺区,12-31,14999,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,21.html",南京唯实科技有限公司,性能测试工程师,10000
10000-20000/月,北京,12-31,20000,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,21.html",北京北大软件工程股份有限公司,大数据工程师,10000
7000-10000/月,杭州-江干区,12-31,10000,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,22.html",浙江新盛蓝科技有限公司,Linux系统管理员(运维),7000
6000-8000/月,上海-浦东新区,12-31,8000,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,22.html",上海数奇投资管理有限公司,seo专员,6000
6000-7999/月,武汉-武昌区,12-31,7999,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,22.html",迈思腾科技（武汉）有限公司,web前端开发工程师,6000
15000-25000/月,上海-静安区,12-31,25000,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,22.html",蘑菇租房,高级测试工程师,15000
4500-5999/月,上海,12-31,5999,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,29.html",崇盈(上海)信息技术有限公司,BI分析师助理/数据分析师助理,4500
6000-11000/月,福州-鼓楼区,12-31,11000,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,29.html",蓝海天网科技有限公司,运维工程师,6000
8000-15000/月,广州-天河区,12-31,15000,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,29.html",广州房王网络科技有限公司,React Native工程师,8000
10000-20000/月,广州-天河区,12-31,20000,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,29.html",广州麦驰网络科技有限公司,游戏后端测试工程师,10000
15000-19999/月,深圳,12-31,19999,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,27.html",深圳二四六信息技术有限公司,软件测试高级讲师,15000
10000-20000/月,杭州,12-31,20000,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,27.html",观澜网络(杭州)有限公司--丁香园,产品经理,10000
15000-19999/月,异地招聘,12-31,19999,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,27.html",上海希音信息技术有限公司成都分公司,运维工程师/配置部署工程师（重庆）,15000
15000-19999/月,北京-朝阳区,12-31,19999,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,27.html",北京杰迈利和科技有限公司,Java架构师,15000
5000-9000/月,合肥,12-31,9000,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,27.html",合肥指间娱乐信息技术有限公司,游戏运维工程师,5000
15000-19999/月,上海-浦东新区,12-31,19999,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,25.html",上海腾道信息技术有限公司,算法工程师,15000
,异地招聘,12-31,,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,25.html",苏州工业园区凌志软件股份有限公司,Java架构师,
25000-29999/月,北京,12-31,29999,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,25.html",飞塔信息科技（北京）有限公司,Web Developer - (Embedded Switch),25000
20000-24999/月,北京-海淀区,12-31,24999,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,25.html",北京中发时代科技发展有限责任公司,高级java工程师,20000
10000-20000/月,上海-长宁区,12-31,20000,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,28.html",上海乐树网络科技有限公司,手游客户端程序员（unity3D、U3D）,10000
10000-14999/月,杭州-西湖区,12-31,14999,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,28.html",杭州商圈网络技术有限公司,图像深度学习算法工程师,10000
8000-9999/月,福州-仓山区,12-31,9999,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,28.html",北京科莱特信息技术有限公司,数据运营 高薪 五险一金,8000
6000-7999/月,上海-嘉定区,12-31,7999,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,28.html",上海翊视皓瞳信息科技有限公司,软件测试工程师（上海鼎视信息科技有限公司）,6000
10000-14999/月,北京-朝阳区,12-31,14999,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,23.html",合科软件（北京）有限责任公司,后期特效总监,10000
10000-20000/月,北京-昌平区,12-31,20000,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,23.html",北京中油瑞飞信息技术有限责任公司,微软平台系统专家(windows/sqlserver/SharePoint）,10000
7000-10000/月,广州-天河区,12-31,10000,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,23.html",广州中望龙腾软件股份有限公司,软件测试实习生,7000
8000-15000/月,杭州-滨江区,12-31,15000,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,23.html",杭州韵辰信息科技有限公司,测试工程师,8000
10000-100000/月,上海-杨浦区,12-31,100000,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,26.html",上海日钢物流有限公司,网络安全工程师,10000
12000-22000/月,上海,12-31,22000,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,26.html",是德科技（中国）有限公司Keysight,应用工程师（半导体器件建模）,12000
9000-14000/月,广州-越秀区,12-31,14000,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,26.html",广州大麦信息科技有限公司,php中级研发工程师,9000
15000-19999/月,北京-崇文区,12-31,19999,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,26.html",北京中视浩诚国际广告有限公司,服务器高级工程师,15000
15000-19999/月,上海-浦东新区,12-15,19999,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,14.html",博彦科技（深圳）有限公司,Python,15000
15000-19999/月,珠海,12-15,19999,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,14.html",珠海市魅族科技有限公司,测试开发工程师（Linux & Python）,15000
8000-9999/月,银川,12-15,9999,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,14.html",北京星华永泰科技有限公司,Python系统开发工程师,8000
6000-7999/月,成都,12-15,7999,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,14.html",同方（深圳）云计算技术股份有限公...,Python开发工程师,6000
4000-8000/月,广州-天河区,12-31,8000,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,24.html",广州数远网络科技有限公司,网络运维专员,4000
20000-25000/月,成都,12-31,25000,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,24.html",成都雨神电竞科技股份有限公司,C++服务端主程,20000
20000-30000/月,深圳-福田区,12-31,30000,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,24.html",深圳小库科技有限公司,高级软件研发工程师,20000
15000-19999/月,上海,12-31,19999,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,24.html",动视信息技术（上海）有限公司,软件开发工程师,15000
5000-10000/月,深圳-南山区,12-07,10000,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,15.html",深圳市乐思软件技术有限公司,Python程序员,5000
4000-6000/月,北京-朝阳区,12-21,6000,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,13.html",北京能融恒通科技有限公司,Python开发工程师,4000
15000-25000/月,北京,11-18,25000,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,17.html",北京卡来宝信息科技有限公司,python开发,15000
20000-35000/月,北京-朝阳区,11-18,35000,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,17.html",北京格上添富科技发展有限公司,高级Python开发工程师,20000
10000-14999/月,成都-高新区,11-18,14999,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,17.html",北京陌陌信息技术有限公司成都分公司,Python研发工程师,10000
8000-12000/月,北京-朝阳区,11-01,12000,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,18.html",北京睿智融科控股股份有限公司,python开发工程师,8000
8000-12000/月,异地招聘,10-31,12000,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,18.html",北京微智信业科技有限公司,Python开发工程师,8000
6000-7999/月,东莞,10-31,7999,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,18.html",广东嘉荣超市有限公司,PYTHON 开发工程师,6000
15000-19999/月,上海,12-31,19999,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,19.html",上海数禧金融信息服务有限公司,测试工程师（自动化）,15000
6000-12000/月,上海-宝山区,12-31,12000,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,20.html",上海雍敏信息科技有限公司,测试工程师（偏软件方向）,6000
8000-20000/月,南京-雨花台区,12-31,20000,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,21.html",南京泰立瑞信息科技有限公司,算法工程师（高级算法工程师）,8000
4000-8000/月,郑州-高新区,12-31,8000,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,21.html",河南掌中乐玩文化传播有限公司,linux运维,4000
10000-14999/月,北京-昌平区,12-31,14999,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,21.html",北京智行者科技有限公司,嵌入式软件开发,10000
6000-7999/月,苏州,12-31,7999,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,22.html",苏州工业园区乐美馆软件有限公司,TA（技术美术）,6000
4000-10000/月,昆明,12-31,10000,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,22.html",云南睿仁企业管理有限公司,软件开发人员,4000
4500-5999/月,异地招聘,12-31,5999,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,22.html",西安腾霄企业管理咨询有限公司,数据开发实习生,4500
10000-14999/月,深圳-南山区,12-31,14999,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,22.html",深圳市乐易网络股份有限公司,（C++后台开发工程师）,10000
8000-9999/月,武汉-江岸区,12-31,9999,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,22.html",武汉雅匠装饰设计有限公司,SEO/SEM经理,8000
6000-10000/月,广州-天河区,12-31,10000,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,29.html",广州洛克韦陀安防科技有限公司,高薪急招   中级运维工程师,6000
8000-9999/月,苏州-工业园区,12-31,9999,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,29.html",苏州星熙数据科技有限公司,C/C++开发工程师,8000
12000-20000/月,广州-天河区,12-31,20000,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,29.html",广州闪炫网络科技有限公司,Web后端负责人（JAVA）,12000
15000-19999/月,深圳-南山区,12-31,19999,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,27.html",文思海辉技术有限公司Pactera Tec...,Cloud Application Developer,15000
15000-19999/月,广州-萝岗区,12-31,19999,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,27.html",广东奥迪安监控技术股份有限公司,技术经理,15000
20000-24999/月,北京-朝阳区,12-31,24999,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,27.html",北京康思教育科技有限公司,全栈工程师,20000
4000-8000/月,无锡,12-31,8000,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,25.html",无锡三通科技有限公司,WEB软件工程师,4000
6000-9000/月,深圳-南山区,12-31,9000,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,25.html",易交易科技（深圳）有限公司,中级JAVA开发工程师,6000
30000-50000/月,上海-闵行区,12-31,50000,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,25.html",上海别样红信息技术有限公司,软件架构师,30000
8000-20000/月,广州-海珠区,12-31,20000,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,28.html",广州新的美地电子科技有限公司,自动化测试工程师,8000
10000-14999/月,长沙,12-31,14999,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,28.html",湖南众益文化传媒股份有限公司,C++ 服务器程序员,10000
10000-20000/月,杭州,12-31,20000,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,28.html",浙江新华移动传媒股份有限公司,性能测试工程师,10000
15000-19999/月,杭州-西湖区,12-31,19999,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,23.html",浙江聚贸电子商务有限公司,大数据开发工程师,15000
8000-15000/月,深圳-南山区,12-31,15000,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,26.html",深圳市有限元科技有限公司,急聘Hypermesh二次开发工程师（深圳南山）,8000
8000-9999/月,厦门,12-31,9999,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,26.html",厦门红叶帮帮忙科技有限公司,数据库工程师/管理员,8000
8000-9999/月,杭州-滨江区,12-31,9999,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,26.html",杭州秀娱科技有限公司,后端开发工程师,8000
6000-10000/月,深圳-龙华新区,12-31,10000,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,26.html",深圳市优圣康生物科技有限公司,生物信息学研究员,6000
9000-18000/月,北京-西城区,12-31,18000,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,24.html",北京爱农驿站科技服务有限公司,高级运维工程师、运维经理,9000
10000-14999/月,上海-长宁区,12-31,14999,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,24.html",好友邦永利金融信息服务（上海）有...,互联网信息安全工程师,10000
6000-7999/月,异地招聘,12-31,7999,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,24.html",深圳市德科信息技术有限公司,游戏测试（实习）,6000
10000-14999/月,合肥,12-31,14999,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,24.html",安徽新知数媒信息科技有限公司,后端研发工程师,10000
4500-5999/月,武汉-洪山区,12-31,5999,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,24.html",北京汉通达科技有限公司,LabView软件工程师,4500
6000-7999/月,杭州-上城区,12-31,7999,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,24.html",昆山妈妈好网络技术有限公司,初级APP测试专员,6000
20000-24999/月,上海,12-30,24999,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,18.html",睿程（上海）人才咨询有限公司,Python开发运维工程师,20000
