salary,city,post_time,max_salary,url,company,title,min_salary
6000-7999/月,合肥,12-08,7999,"http://search.51job.com/list/000000,000000,0000,00,9,99,%E5%AE%A1%E8%AE%A1%E5%91%98,2,7.html",信永中和会计师事务所（特殊普通合...,工程造价审计员（造价员）,6000
4500-5999/月,上海-黄浦区,12-08,5999,"http://search.51job.com/list/000000,000000,0000,00,9,99,%E5%AE%A1%E8%AE%A1%E5%91%98,2,7.html",外滩控股集团有限公司,合同审计员,4500
3000-4499/月,上海-青浦区,12-22,4499,"http://search.51job.com/list/000000,000000,0000,00,9,99,%E5%AE%A1%E8%AE%A1%E5%91%98,2,6.html",上海荣泰健康科技股份有限公司,内部审计员,3000
,乌鲁木齐,12-22,,"http://search.51job.com/list/000000,000000,0000,00,9,99,%E5%AE%A1%E8%AE%A1%E5%91%98,2,6.html",信永中和会计师事务所,高级审计员,
,长春,12-22,,"http://search.51job.com/list/000000,000000,0000,00,9,99,%E5%AE%A1%E8%AE%A1%E5%91%98,2,6.html",信永中和（北京）国际工程管理咨询...,工程造价高级审计员,
6000-7999/月,佛山,12-31,7999,"http://search.51job.com/list/000000,000000,0000,00,9,99,%E5%AE%A1%E8%AE%A1%E5%91%98,2,2.html",广东奥丽侬内衣集团有限公司,审计员,6000
6000-7999/月,佛山-禅城区,12-30,7999,"http://search.51job.com/list/000000,000000,0000,00,9,99,%E5%AE%A1%E8%AE%A1%E5%91%98,2,3.html",日丰企业集团有限公司,内控审计员,6000
3000-4000/月,合肥,12-30,4000,"http://search.51job.com/list/000000,000000,0000,00,9,99,%E5%AE%A1%E8%AE%A1%E5%91%98,2,3.html",中审众环会计师事务所（特殊普通合...,审计员,3000
2500-3500/月,芜湖,12-30,3500,"http://search.51job.com/list/000000,000000,0000,00,9,99,%E5%AE%A1%E8%AE%A1%E5%91%98,2,3.html",安徽达尔智能控制系统股份有限公司,工程审计员,2500
6000-7999/月,上海-宝山区,12-28,7999,"http://search.51job.com/list/000000,000000,0000,00,9,99,%E5%AE%A1%E8%AE%A1%E5%91%98,2,5.html",上海东方泵业（集团）有限公司,审计主管/审计员,6000
10000-14999/月,上海-长宁区,12-28,14999,"http://search.51job.com/list/000000,000000,0000,00,9,99,%E5%AE%A1%E8%AE%A1%E5%91%98,2,5.html",博马努瓦服饰商贸（上海）有限公司,Sr. Internal Auditor/资深内部审计员,10000
8000-9999/月,深圳-南山区,12-28,9999,"http://search.51job.com/list/000000,000000,0000,00,9,99,%E5%AE%A1%E8%AE%A1%E5%91%98,2,5.html",深圳多吉投资有限公司,总账会计(审计员),8000
3000-4499/月,异地招聘,12-28,4499,"http://search.51job.com/list/000000,000000,0000,00,9,99,%E5%AE%A1%E8%AE%A1%E5%91%98,2,5.html",新兴移山浙江设备制造有限公司,审计员,3000
3000-4499/月,武汉-汉阳区,12-28,4499,"http://search.51job.com/list/000000,000000,0000,00,9,99,%E5%AE%A1%E8%AE%A1%E5%91%98,2,5.html",联投半岛酒店,审计员,3000
8000-9999/月,上海-普陀区,12-29,9999,"http://search.51job.com/list/000000,000000,0000,00,9,99,%E5%AE%A1%E8%AE%A1%E5%91%98,2,4.html",上海仟一会计师事务所有限公司,高级审计员,8000
4000-6000/月,武汉-江岸区,12-29,6000,"http://search.51job.com/list/000000,000000,0000,00,9,99,%E5%AE%A1%E8%AE%A1%E5%91%98,2,4.html",武汉新大陆物业发展有限公司,工程造价审计员,4000
3500-5000/月,泸州,12-29,5000,"http://search.51job.com/list/000000,000000,0000,00,9,99,%E5%AE%A1%E8%AE%A1%E5%91%98,2,4.html",四川省巨洋酒店集团有限公司,集团财务审计员,3500
4000-8000/月,佛山,12-29,8000,"http://search.51job.com/list/000000,000000,0000,00,9,99,%E5%AE%A1%E8%AE%A1%E5%91%98,2,4.html",广东诚安信会计师事务所有限公司,高级审计员（佛山分公司）,4000
8000-12000/月,上海,01-01,12000,"http://search.51job.com/list/000000,000000,0000,00,9,99,%E5%AE%A1%E8%AE%A1%E5%91%98,2,1.html",美年大健康产业控股股份有限公司,审计员,8000
5000-10000/月,眉山,01-01,10000,"http://search.51job.com/list/000000,000000,0000,00,9,99,%E5%AE%A1%E8%AE%A1%E5%91%98,2,1.html",四川德恩进出口有限公司,企业审计员,5000
4500-5999/月,上海,01-01,5999,"http://search.51job.com/list/000000,000000,0000,00,9,99,%E5%AE%A1%E8%AE%A1%E5%91%98,2,1.html",余维（上海）科技有限公司,审计员/ 审计助理/ 审计专员,4500
6000-7999/月,深圳,11-02,7999,"http://search.51job.com/list/000000,000000,0000,00,9,99,%E5%AE%A1%E8%AE%A1%E5%91%98,2,8.html",深圳市宏达信会计师事务所 （普通...,审计员/高级审计员（急招）,6000
5000-8000/月,异地招聘,11-02,8000,"http://search.51job.com/list/000000,000000,0000,00,9,99,%E5%AE%A1%E8%AE%A1%E5%91%98,2,8.html",广州市世冠体育用品有限公司,审计员（电商方向）,5000
3000-4499/月,深圳-光明新区,11-01,4499,"http://search.51job.com/list/000000,000000,0000,00,9,99,%E5%AE%A1%E8%AE%A1%E5%91%98,2,8.html",深圳市驰鹏物流有限公司,审计员,3000
6000-7999/月,北京,01-01,7999,"http://search.51job.com/list/000000,000000,0000,00,9,99,%E5%AE%A1%E8%AE%A1%E5%91%98,2,8.html",北京东审鼎立国际会计师事务所有限...,审计助理,6000
4500-5000/月,北京,01-01,5000,"http://search.51job.com/list/000000,000000,0000,00,9,99,%E5%AE%A1%E8%AE%A1%E5%91%98,2,8.html",中逸会计师事务所有限公司,预算评审专员,4500
6000-7999/月,深圳,12-08,7999,"http://search.51job.com/list/000000,000000,0000,00,9,99,%E5%AE%A1%E8%AE%A1%E5%91%98,2,7.html",深圳市联创电器实业有限公司,建筑工程审计员,6000
