salary,city,post_time,max_salary,url,company,title,min_salary
4000-8000/月,成都-高新区,12-30,8000,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,36.html",成都摩奇卡卡科技有限责任公司,C#服务端工程师,4000
6000-9999/月,西安,12-30,9999,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,36.html",西安融科通信技术有限公司,C/C++软件工程师,6000
4500-5999/月,中山,12-30,5999,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,36.html",广东英得尔实业发展有限公司,B2C运营（京东、苏宁）燃气热水器方向,4500
4000-6000/月,南京-建邺区,12-30,6000,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,36.html",南京联迪信息系统股份有限公司,C/C++开发,4000
10000-19999/月,北京-朝阳区,12-30,19999,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,36.html",北京智造宝科技有限公司,C++软件工程师（3D引擎，VR）,10000
8000-9999/月,杭州,12-30,9999,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,34.html",上海光华永盛消防智能系统股份有限...,C++程序员,8000
7500-15000/月,深圳,12-30,15000,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,34.html",深圳市星火电子工程公司,C++工程师,7500
10000-14999/月,北京-海淀区,12-30,14999,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,34.html",北京世纪鼎点软件有限公司,服务器端C/C++开发,10000
8000-9999/月,武汉,12-30,9999,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,34.html",武汉光庭科技有限公司,C/C++开发工程师（嵌入式方向）,8000
3500-20000/月,深圳-龙华新区,12-30,20000,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,34.html",深圳市易捷源科技有限公司,速卖通 外贸业务员/外贸销售 (B2C),3500
4500-5999/月,深圳-福田区,12-30,5999,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,37.html",深圳市清振拓电子科技有限公司,外贸业务员B2C,4500
6000-7999/月,杭州-拱墅区,12-30,7999,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,37.html",杭州牧歌科技有限公司,C++程序员-棋牌,6000
4500-5999/月,武汉,12-30,5999,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,37.html",武汉中地数码科技有限公司,c#研发工程师(武汉中地云申科技有限公司),4500
10000-20000/月,上海,12-30,20000,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,37.html",上海维赛特科技实业有限公司,C++高级软件开发工程师,10000
3000-4499/月,大连-高新园区,12-30,4499,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,37.html",日进和中软件（大连）有限公司,C语言开发工程师助理,3000
10000-20000/月,北京,12-30,20000,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,37.html",北京融安特智能科技股份有限公司,C#研发工程师（3年工作经验）,10000
6000-7999/月,苏州,12-30,7999,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,37.html",方舟信息技术（苏州）有限公司,C#软件开发,6000
8000-9999/月,广州-萝岗区,12-30,9999,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,35.html",广东凯通科技股份有限公司,C++中/高级开发工程师,8000
8000-15000/月,上海,12-30,15000,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,35.html",世存信息技术（上海）有限公司,日语软件工程师（C语言）,8000
10000-14999/月,深圳,12-30,14999,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,35.html",深圳三思纵横科技股份有限公司,C++软件工程师,10000
7500-15000/月,深圳-南山区,12-30,15000,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,35.html",深圳市普特生物医学工程有限公司,C#软件工程师,7500
8000-9999/月,异地招聘,12-30,9999,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,35.html",华通科技有限公司,C++开发（工作地点：北京东燕郊开发区）,8000
6000-10000/月,大连-高新园区,12-30,10000,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,35.html",大连益瑞数字科技有限公司,c#软件开发工程师,6000
10000-14999/月,深圳-南山区,12-30,14999,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,35.html",深圳市麦游互动科技有限公司,C++服务器开发,10000
2000-4000/月,沈阳,12-30,4000,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,33.html",沈阳中软卓越信息技术有限公司,C语言程序员+双休五险,2000
5000-9000/月,上海-杨浦区,12-30,9000,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,33.html",上海居数信息技术有限公司,高级软件工程师-C# .NET B/S方向,5000
10000-14999/月,上海-闵行区,12-30,14999,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,33.html",上海元享信息科技有限公司,c++高级软件工程师,10000
10000-14999/月,深圳-宝安区,12-30,14999,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,33.html",深圳市迈创盛世实业有限公司,C++开发工程师,10000
15000-19999/月,上海,12-30,19999,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,31.html",上海复深蓝软件股份有限公司,c++开发工程师,15000
5000-12000/月,成都-高新区,12-30,12000,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,39.html",四川格瑞特科技有限公司,C#工程师,5000
6000-7999/月,异地招聘,12-30,7999,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,39.html",成都中科合迅科技有限公司,C#开发工程师,6000
7000-15000/月,广州,12-30,15000,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,32.html",广州掌联信息技术有限公司,C/C++服务端开发,7000
10000-14999/月,北京-海淀区,12-30,14999,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,32.html",北京问世技术服务有限公司,C# winform开发（外派岗）,10000
8000-9999/月,石家庄,12-30,9999,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,32.html",河北腾翔科技有限公司,C++高级软件工程师,8000
8000-16000/月,北京,12-30,16000,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,32.html",北京湛腾世纪科技有限公司,C/C++开发工程师,8000
15000-19999/月,上海-普陀区,12-30,19999,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,32.html",北京逆讯科技有限公司,C++开发工程师,15000
5000-10000/月,深圳-南山区,12-30,10000,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,38.html",深圳市领锋网络科技有限公司,互联网软件开发工程师 C/C++,5000
2000-3000/月,济南-高新区,12-30,3000,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,38.html",山东科耀信息科技有限公司,C/C++软件工程师（可应届实习）,2000
6000-10000/月,成都,12-30,10000,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,38.html",四川广贤软件有限公司,C#软件开发工程师,6000
4500-5999/月,深圳-龙岗区,12-30,5999,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,38.html",深圳市三合众科技有限公司,ebay外贸销售员 B2C外贸业务员 电子商专员,4500
5000-6000/月,深圳,12-30,6000,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,38.html",广东银圭新材料科技有限公司,网络销售经理 / 3C客户经理,5000
5000-6000/月,大连-沙河口区,12-30,6000,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,36.html",立莱人力资源服务（大连）有限公司,C#工程师,5000
8000-16000/月,北京,12-30,16000,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,36.html",北京国电通网络技术有限公司,高级C/C++开发工程师,8000
6000-9000/月,广州,12-30,9000,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,36.html",广州鼎瀛计算机科技有限公司,C#.NET高级软件开发工程师,6000
8000-12000/月,北京-大兴区,12-30,12000,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,36.html",北京晨飞雁通讯技术有限公司,asp.net程序员/C#,8000
10000-20000/月,苏州,12-30,20000,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,36.html",江苏艾凯艾国际标准认证有限公司,IAQG OASIS 注册AS9100C 审核员,10000
3000-4499/月,无锡,12-30,4499,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,34.html",无锡中卓软件有限公司,烟草事业部 诚聘C/C++实习生/学徒,3000
10000-14999/月,杭州-萧山区,12-30,14999,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,34.html",浙江华治数聚科技股份有限公司,C++开发工程师,10000
4500-5999/月,深圳-龙岗区,12-30,5999,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,34.html",深圳市华辰软件开发科技有限公司,急招/C++软件开发学徒 +五险一金+0基础,4500
4500-5999/月,合肥,12-30,5999,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,34.html",安徽彗赢科技有限公司,Java/C开发实习生,4500
10000-14999/月,成都,12-30,14999,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,34.html",成都天乐互动科技有限公司,手游服务器程序/资深服务器程序/C++,10000
15000-20000/月,上海-长宁区,12-30,20000,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,34.html",上海飞书广告有限公司,高级C++后台开发工程师,15000
10000-30000/月,北京-朝阳区,12-30,30000,"http://search.51job.com/list/000000,000000,0000,00,9,99,c++,2,34.html",北京易思凯科技发展有限公司,C#高级开发工程师,10000
